(4/15/2020 11:41:17 AM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 11:41:17 AM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 11:41:20 AM) RPA_CAU_REN | <HU03> | ..:: Iniciando <HU03> ::..
(4/15/2020 11:41:20 AM) RPA_CAU_REN | <HU03> | Borrando archivos antiguos
(4/15/2020 11:41:20 AM) RPA_CAU_REN | <HU03> | Borrando archivo "Rentas por mes y anio.xlsx"
(4/15/2020 11:41:20 AM) RPA_CAU_REN | <HU03> | Borrando archivo "rentas.csv"
(4/15/2020 11:41:20 AM) RPA_CAU_REN | <HU03> | Borrando archivo "rentasOrdenadas.csv"
(4/15/2020 11:41:20 AM) RPA_CAU_REN | <HU03> | Copiando archivo desde Drive
(4/15/2020 11:41:20 AM) RPA_CAU_REN | <HU03> | Archivo copiado con exito
(4/15/2020 11:41:20 AM) RPA_CAU_REN | <HU03> | Archivo "Rentas por mes y anio.xlsx" encontrado
(4/15/2020 11:41:23 AM) RPA_CAU_REN | <HU06> | ..:: Iniciando <HU06> ::..
(4/15/2020 11:41:24 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | ..:: Iniciando <Menu_Andes_MovimientoVista> ::..
(4/15/2020 11:41:24 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | En el caso de que no este en la vista principal de MA, se mueve a ella.
(4/15/2020 11:41:24 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | ..:: Iniciando <Menu_Andes_VistaPrincipal> ::..
(4/15/2020 11:41:24 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | Verificando si MA esta abierto
(4/15/2020 11:41:24 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | ..:: Iniciando <Menu_Andes_VerificarExistenciaMA> ::..
(4/15/2020 11:42:01 AM) .....:::::: INICIANDO ROBOT ::::::.....
(4/15/2020 11:42:01 AM) RPA_CAU_REN | <1_Config> | Ejecucion sin error, dirigiendose a HU03
(4/15/2020 11:42:03 AM) RPA_CAU_REN | <HU06> | ..:: Iniciando <HU06> ::..
(4/15/2020 11:42:04 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | ..:: Iniciando <Menu_Andes_MovimientoVista> ::..
(4/15/2020 11:42:04 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | En el caso de que no este en la vista principal de MA, se mueve a ella.
(4/15/2020 11:42:04 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | ..:: Iniciando <Menu_Andes_VistaPrincipal> ::..
(4/15/2020 11:42:04 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | Verificando si MA esta abierto
(4/15/2020 11:42:04 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | ..:: Iniciando <Menu_Andes_VerificarExistenciaMA> ::..
(4/15/2020 11:42:34 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | Ventana de MA no existe
(4/15/2020 11:42:34 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | Abriendo MA
(4/15/2020 11:43:24 AM) <Menu_Andes_VerificarExistenciaMA> | ¡ERROR! Tipo: Sistema, Línea: 38, Descripción: Unable to find 'Run this time' PushButton. ‘Search Criteria’ did not match. (TYPE_1001)”.
(4/15/2020 11:43:28 AM) RPA_CAU_REN | <2_Task_Errores> | ..:: Iniciando <2_Task_Errores> ::..
(4/15/2020 11:43:28 AM) RPA_CAU_REN | <2_Task_Errores> | Error detectado en HU06, este es el Error N°1
(4/15/2020 11:43:29 AM) RPA_CAU_REN | <HU06> | ..:: Iniciando <HU06> ::..
(4/15/2020 11:43:29 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | ..:: Iniciando <Menu_Andes_MovimientoVista> ::..
(4/15/2020 11:43:29 AM) RPA_CAU_REN | <Menu_Andes_MovimientoVista> | En el caso de que no este en la vista principal de MA, se mueve a ella.
(4/15/2020 11:43:29 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | ..:: Iniciando <Menu_Andes_VistaPrincipal> ::..
(4/15/2020 11:43:29 AM) RPA_CAU_REN | <Menu_Andes_VistaPrincipal> | Verificando si MA esta abierto
(4/15/2020 11:43:29 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | ..:: Iniciando <Menu_Andes_VerificarExistenciaMA> ::..
(4/15/2020 11:43:32 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | Ventana de MA existe, colocada en vista Login
(4/15/2020 11:43:32 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | Ingresando credenciales del login
(4/15/2020 11:43:32 AM) RPA_CAU_REN | <Menu_Andes_VerificarExistenciaMA> | Ingresando User
